,PMCID,Class_mean
53369,['5436850'],Relevant
49916,['5656748'],Relevant
72157,['3961377'],Relevant
13080,['7888466'],Relevant
41196,['6206136'],Relevant
56039,['5220581'],Relevant
2589,['8388979'],Relevant
6136,['8171953'],Relevant
85145,['2596086'],Relevant
14173,['7730664'],Relevant
4095,['8301042'],Relevant
40076,['6286552'],Relevant
59548,['4933989'],Relevant
82991,['3084564'],Relevant
3788,['8310095'],Relevant
74952,['3799487'],Relevant
75390,['3692556'],Relevant
9554,['7948344'],Relevant
75559,['3676391'],Relevant
6202,['8166017'],Relevant
62274,['4730234'],Relevant
5087,['8209993'],Relevant
18919,['7468391'],Relevant
18922,['7456698'],Relevant
55909,['5239776'],Relevant
45023,['5974471'],Relevant
25336,['7144103'],Relevant
4378,['8289172'],Relevant
30919,['6835900'],Relevant
87306,['7124310'],Relevant
87279,['7149804'],Relevant
82136,['3818863'],Relevant
38190,['7127218'],Relevant
21150,['7324339'],Relevant
328,['8464638'],Relevant
52998,['5559561'],Relevant
7795,['8072573'],Relevant
40128,['6317029'],Relevant
9685,['8035529'],Relevant
64506,['4581545'],Relevant
36805,['6446404'],Relevant
80521,['3217983'],Relevant
37520,['6411858'],Relevant
63620,['4630631'],Relevant
618,['8477391'],Relevant
56907,['5280084'],Relevant
44854,['6451074'],Relevant
8211,['8069180'],Relevant
2703,['8384431'],Relevant
70101,['4140803'],Relevant
24336,['7221840'],Relevant
77906,['3497017'],Relevant
9128,['8017119'],Relevant
80874,['3182331'],Relevant
73517,['3857800'],Relevant
31064,['6781337'],Relevant
37483,['6414702'],Relevant
28140,['7050171'],Relevant
16399,['7591081'],Relevant
43897,['6052131'],Relevant
31220,['6828540'],Relevant
50150,['5691729'],Relevant
6993,['8150894'],Relevant
28659,['6916455'],Relevant
20409,['7367826'],Relevant
52070,['5536038'],Relevant
16129,['7587830'],Relevant
60689,['4850260'],Relevant
65188,['4518254'],Relevant
7115,['8148187'],Relevant
63553,['4636146'],Relevant
56415,['5187920'],Relevant
64593,['6332302'],Relevant
49547,['5713350'],Relevant
73179,['4047586'],Relevant
6537,['8161034'],Relevant
66759,['4453556'],Relevant
23080,['7227335'],Relevant
21403,['7904557'],Relevant
72950,['3901891'],Relevant
25114,['7117780'],Relevant
85472,['2453137'],Relevant
13419,['7766527'],Relevant
73321,['3881664'],Relevant
28425,['6927977'],Relevant
48200,['5765111'],Relevant
8909,['8007559'],Relevant
30332,['7111097'],Relevant
61303,['4801890'],Relevant
31879,['6737621'],Relevant
80288,['3272454'],Relevant
87387,['7106398'],Relevant
47926,['5785894'],Relevant
19065,['7464460'],Relevant
70797,['4077706'],Relevant
81161,['7120292'],Relevant
3709,['8282027'],Relevant
2754,['8375415'],Relevant
63580,['4663581'],Relevant
87720,['138830'],Relevant
26595,['7072842'],Relevant
18250,['7558321'],Relevant
85354,['2516327'],Relevant
38347,['6372802'],Relevant
25570,['7076156'],Relevant
44140,['6123714'],Relevant
22910,['7236265'],Relevant
67318,['4394493'],Relevant
7019,['8106565'],Relevant
24036,['7173646'],Relevant
84560,['2707363'],Relevant
15050,['7666521'],Relevant
59471,['5027790'],Relevant
60788,['4839964'],Relevant
63995,['4603800'],Relevant
52094,['5766154'],Relevant
70488,['5533278'],Relevant
51307,['5566955'],Relevant
4037,['8304235'],Relevant
26615,['7017618'],Relevant
5310,['8235268'],Relevant
17475,['7535929'],Relevant
84709,['2668191'],Relevant
1741,['8423837'],Relevant
78795,['3461725'],Relevant
70941,['4079955'],Relevant
37561,['6418018'],Relevant
69414,['5873516'],Relevant
62290,['4729462'],Relevant
79423,['3329495'],Relevant
31912,['6736965'],Relevant
87546,['7149370'],Relevant
33250,['6682632'],Relevant
73938,['3847574'],Relevant
58884,['4979069'],Relevant
11779,['7911939'],Relevant
34758,['6560905'],Relevant
931,['8469599'],Relevant
48925,['5725476'],Relevant
36835,['6626937'],Relevant
57550,['5031613'],Relevant
30983,['6787224'],Relevant
5396,['8232642'],Relevant
31888,['6783962'],Relevant
49263,['5709302'],Relevant
25756,['7056807'],Relevant
70499,['4117971'],Relevant
22507,['7265150'],Relevant
46294,['5879566'],Relevant
45340,['7130929'],Relevant
37487,['6414621'],Relevant
60638,['6273219'],Relevant
49746,['5700586'],Relevant
79830,['3285670'],Relevant
60895,['4830989'],Relevant
1581,['8388801'],Relevant
469,['8486628'],Relevant
81917,['3267167'],Relevant
284,['8504540'],Relevant
82915,['6257735'],Relevant
86454,['1563472'],Relevant
66557,['4440597'],Relevant
71382,['4052325'],Relevant
44781,['5989533'],Relevant
85066,['2597743'],Relevant
1753,['8421279'],Relevant
9252,['8010197'],Relevant
1438,['8443313'],Relevant
46642,['7099664'],Relevant
3147,['8353384'],Relevant
27838,['7013518'],Relevant
50876,['5594074'],Relevant
4517,['8278651'],Relevant
75190,['3708875'],Relevant
64235,['4742104'],Relevant
60961,['4989884'],Relevant
82451,['3023272'],Relevant
21349,['7882240'],Relevant
64623,['4579274'],Relevant
26977,['7095039'],Relevant
22768,['7253635'],Relevant
74036,['3808150'],Relevant
27794,['6958622'],Relevant
59414,['4933909'],Relevant
4598,['8273167'],Relevant
36471,['6514995'],Relevant
60537,['4855409'],Relevant
62800,['4755745'],Relevant
29588,['6872816'],Relevant
55496,['5292412'],Relevant
20178,['7460372'],Relevant
52359,['5499019'],Relevant
47815,['5901406'],Relevant
70088,['4790362'],Relevant
78771,['3762269'],Relevant
67899,['4324542'],Relevant
6607,['8158721'],Relevant
1103,['8465895'],Relevant
45633,['5942155'],Relevant
77842,['3474745'],Relevant
81923,['3129030'],Relevant
961,['8468881'],Relevant
41309,['6201123'],Relevant
2100,['8403010'],Relevant
5825,['8214026'],Relevant
51495,['5790587'],Relevant
29040,['6896287'],Relevant
71535,['4041001'],Relevant
39356,['6314531'],Relevant
61297,['4802719'],Relevant
38243,['6412916'],Relevant
39624,['6639600'],Relevant
38324,['6384987'],Relevant
22157,['7314544'],Relevant
45602,['5943674'],Relevant
62069,['4784558'],Relevant
87620,['2193427'],Relevant
20462,['7366681'],Relevant
8593,['8016905'],Relevant
11621,['7876221'],Relevant
5182,['8239415'],Relevant
27967,['6950926'],Relevant
45972,['5979753'],Relevant
88167,['7115579'],Relevant
44399,['6099707'],Relevant
56033,['5223472'],Relevant
85623,['2504054'],Relevant
37308,['6423743'],Relevant
49379,['7123693'],Relevant
63522,['4934634'],Relevant
50737,['5599662'],Relevant
4641,['8272106'],Relevant
78339,['3822968'],Relevant
56787,['6301713'],Relevant
41637,['6181297'],Relevant
7285,['8124571'],Relevant
1384,['8448605'],Relevant
32126,['6733881'],Relevant
898,['8470203'],Relevant
53647,['5419340'],Relevant
13570,['7793679'],Relevant
13480,['7766957'],Relevant
45610,['5937483'],Relevant
64160,['4675005'],Relevant
85181,['2586610'],Relevant
60901,['5074239'],Relevant
69420,['4189955'],Relevant
22049,['7280274'],Relevant
33906,['6651565'],Relevant
28391,['6930214'],Relevant
44321,['6037015'],Relevant
9272,['8002464'],Relevant
81775,['7150159'],Relevant
51107,['5576731'],Relevant
20258,['7404026'],Relevant
79069,['6268599'],Relevant
42853,['6223728'],Relevant
86740,['2213330'],Relevant
68192,['4438683'],Relevant
21412,['7361915'],Relevant
58968,['4981717'],Relevant
85875,['2063515'],Relevant
14068,['7721306'],Relevant
54964,['5412227'],Relevant
51063,['5583239'],Relevant
27302,['6985128'],Relevant
7534,['8077874'],Relevant
56641,['5095541'],Relevant
84302,['7121531'],Relevant
44773,['5999382'],Relevant
43652,['6140550'],Relevant
73153,['7122612'],Relevant
20541,['7404262'],Relevant
29483,['7122670'],Relevant
26685,['7012916'],Relevant
45988,['6058611'],Relevant
32109,['6781303'],Relevant
87518,['7135474'],Relevant
16499,['7709107'],Relevant
50848,['5596107'],Relevant
16659,['7553670'],Relevant
82073,['3279799'],Relevant
34014,['6667406'],Relevant
41060,['6282909'],Relevant
81481,['3351603'],Relevant
24938,['7100936'],Relevant
4067,['8303170'],Relevant
42743,['6136541'],Relevant
48955,['5717835'],Relevant
28885,['6940937'],Relevant
33433,['6680575'],Relevant
35093,['6631666'],Relevant
67558,['5322555'],Relevant
62858,['4685647'],Relevant
33814,['6653794'],Relevant
54535,['5367774'],Relevant
52052,['5517437'],Relevant
69348,['4211140'],Relevant
74199,['3792076'],Relevant
44274,['6023133'],Relevant
13755,['7749770'],Relevant
12081,['7833371'],Relevant
78250,['3575428'],Relevant
55424,['5299406'],Relevant
26772,['7038085'],Relevant
2752,['8377040'],Relevant
14493,['7689463'],Relevant
23446,['7201201'],Relevant
31769,['6770293'],Relevant
71458,['4048456'],Relevant
7366,['8116656'],Relevant
73519,['3855555'],Relevant
6330,['8198764'],Relevant
39092,['6359146'],Relevant
62154,['4756209'],Relevant
19188,['7460535'],Relevant
49133,['5748671'],Relevant
7192,['8140970'],Relevant
24186,['7163231'],Relevant
49300,['5698493'],Relevant
2948,['8363631'],Relevant
8,['8515046'],Relevant
40773,['6274832'],Relevant
75201,['3717109'],Relevant
3946,['8306565'],Relevant
71525,['6271512'],Relevant
56913,['5133941'],Relevant
19493,['7412836'],Relevant
18775,['7476324'],Relevant
62707,['4704194'],Relevant
57971,['5031889'],Relevant
4679,['8270311'],Relevant
41263,['6278566'],Relevant
40573,['6316569'],Relevant
82285,['3036746'],Relevant
40605,['6244202'],Relevant
51656,['5551955'],Relevant
73573,['3846623'],Relevant
45064,['6201914'],Relevant
63515,['4641401'],Relevant
40067,['6297187'],Relevant
49842,['5682041'],Relevant
71630,['4241724'],Relevant
12510,['7798223'],Relevant
4688,['8270261'],Relevant
13014,['7783888'],Relevant
26013,['7175327'],Relevant
1068,['8466506'],Relevant
68967,['4230525'],Relevant
33537,['6642087'],Relevant
10812,['7907526'],Relevant
45628,['5983632'],Relevant
66318,['4432800'],Relevant
84613,['2706954'],Relevant
12953,['7824297'],Relevant
76814,['3598507'],Relevant
74432,['3771949'],Relevant
25869,['7148514'],Relevant
78948,['3375289'],Relevant
78210,['4863550'],Relevant
83674,['2846879'],Relevant
23686,['7278412'],Relevant
23377,['7229560'],Relevant
30222,['6827257'],Relevant
7788,['8073884'],Relevant
71824,['4014718'],Relevant
25948,['7058794'],Relevant
34367,['6591610'],Relevant
17367,['7519093'],Relevant
22020,['7352461'],Relevant
69912,['4248392'],Relevant
29474,['6876084'],Relevant
15920,['7658953'],Relevant
44251,['6046125'],Relevant
52543,['5489565'],Relevant
84988,['2629466'],Relevant
41,['8511794'],Relevant
56619,['5138215'],Relevant
6003,['8203101'],Relevant
21618,['7346144'],Relevant
37152,['6682806'],Relevant
24017,['7179633'],Relevant
60503,['4863686'],Relevant
12436,['7802930'],Relevant
75754,['3663702'],Relevant
54841,['5339702'],Relevant
40218,['6304673'],Relevant
30396,['6819662'],Relevant
11333,['7913078'],Relevant
18367,['8019869'],Relevant
43536,['6077304'],Relevant
59601,['5040971'],Relevant
62853,['4687089'],Relevant
81213,['3829197'],Relevant
52269,['5504617'],Relevant
46808,['5859128'],Relevant
30761,['6843208'],Relevant
58412,['5025758'],Relevant
36019,['6503054'],Relevant
61799,['4770861'],Relevant
21245,['7320263'],Relevant
12323,['7838569'],Relevant
17218,['7521445'],Relevant
9069,['7985491'],Relevant
44288,['6091502'],Relevant
59654,['4964372'],Relevant
6000,['8192980'],Relevant
2560,['8389599'],Relevant
84156,['3128704'],Relevant
13771,['7729873'],Relevant
9689,['8001982'],Relevant
49454,['5729914'],Relevant
2982,['8365297'],Relevant
3538,['8284144'],Relevant
31855,['6750165'],Relevant
16472,['7587385'],Relevant
75352,['3696045'],Relevant
1421,['8429474'],Relevant
49030,['5750586'],Relevant
17733,['7554795'],Relevant
37649,['7126574'],Relevant
33870,['7049608'],Relevant
18671,['7449045'],Relevant
42235,['6148799'],Relevant
73715,['7149665'],Relevant
11987,['7922830'],Relevant
5632,['8227320'],Relevant
10860,['7906020'],Relevant
74166,['3794426'],Relevant
11746,['7866163'],Relevant
30987,['6787063'],Relevant
45272,['5959928'],Relevant
59179,['4962009'],Relevant
34040,['6606514'],Relevant
71566,['4176448'],Relevant
7651,['8122714'],Relevant
20076,['7405065'],Relevant
37952,['6391917'],Relevant
9633,['8001852'],Relevant
60119,['4902344'],Relevant
17498,['7508521'],Relevant
45206,['5964082'],Relevant
4839,['8262268'],Relevant
3450,['8329331'],Relevant
33322,['6839814'],Relevant
54160,['5436513'],Relevant
76450,['3592925'],Relevant
53266,['5443790'],Relevant
9101,['8003806'],Relevant
35567,['6530530'],Relevant
68485,['4302107'],Relevant
14923,['7672880'],Relevant
12809,['7797372'],Relevant
11463,['7852923'],Relevant
4379,['8287772'],Relevant
74357,['3851168'],Relevant
50069,['5646250'],Relevant
34256,['6615640'],Relevant
63358,['4668301'],Relevant
2468,['8394320'],Relevant
836,['8471137'],Relevant
66042,['4463806'],Relevant
26884,['7036942'],Relevant
62404,['4745819'],Relevant
86408,['2118100'],Relevant
62629,['5726394'],Relevant
56362,['5456982'],Relevant
5426,['8231616'],Relevant
77861,['3815897'],Relevant
38735,['6466596'],Relevant
43025,['6115941'],Relevant
60197,['4887066'],Relevant
85778,['7315330'],Relevant
33524,['6678494'],Relevant
78281,['3432026'],Relevant
43649,['6238586'],Relevant
42717,['6118008'],Relevant
19233,['7465972'],Relevant
2279,['8399881'],Relevant
74430,['3789403'],Relevant
43107,['6165273'],Relevant
32128,['6724367'],Relevant
59623,['4991835'],Relevant
17200,['7568275'],Relevant
28122,['6939332'],Relevant
13955,['7730371'],Relevant
62890,['4683393'],Relevant
24839,['7231312'],Relevant
27809,['7017139'],Relevant
47864,['5789054'],Relevant
43058,['6203184'],Relevant
17092,['7533904'],Relevant
12287,['7809461'],Relevant
6263,['8193730'],Relevant
21024,['7331986'],Relevant
65874,['4493743'],Relevant
31745,['6747290'],Relevant
71800,['4009189'],Relevant
48283,['5772174'],Relevant
6033,['8201314'],Relevant
67609,['4363711'],Relevant
4541,['8258463'],Relevant
8575,['8036437'],Relevant
48903,['6830825'],Relevant
49435,['5694780'],Relevant
34558,['6582509'],Relevant
64926,['4801438'],Relevant
85908,['2186354'],Relevant
20645,['7323084'],Relevant
83830,['3991031'],Relevant
44413,['6024094'],Relevant
47462,['6637983'],Relevant
33679,['6681234'],Relevant
80785,['3191134'],Relevant
61524,['4784298'],Relevant
86658,['7112358'],Relevant
25572,['7075939'],Relevant
38032,['6387526'],Relevant
18960,['7551544'],Relevant
54612,['5372967'],Relevant
81455,['3123346'],Relevant
18662,['7449680'],Relevant
46466,['5908250'],Relevant
31149,['6835631'],Relevant
82295,['3060663'],Relevant
37903,['6393488'],Relevant
68990,['4522593'],Relevant
23277,['7261190'],Relevant
14343,['7761208'],Relevant
80283,['3242780'],Relevant
69019,['5598322'],Relevant
55087,['7009883'],Relevant
72904,['3904158'],Relevant
60713,['4844189'],Relevant
20420,['7365694'],Relevant
55149,['5715972'],Relevant
67138,['4379583'],Relevant
45479,['5964492'],Relevant
39018,['6339267'],Relevant
65061,['4669912'],Relevant
9062,['8004202'],Relevant
84303,['2737161'],Relevant
30013,['6896064'],Relevant
19976,['7581551'],Relevant
19082,['7431563'],Relevant
70957,['4122931'],Relevant
62514,['4709133'],Relevant
7881,['8074038'],Relevant
48271,['5759203'],Relevant
50672,['5619837'],Relevant
40165,['6321547'],Relevant
3543,['8269258'],Relevant
80308,['3252003'],Relevant
16823,['7572853'],Relevant
53066,['5457593'],Relevant
53026,['5460182'],Relevant
44083,['6040156'],Relevant
81907,['7109642'],Relevant
12784,['7783985'],Relevant
86323,['1764016'],Relevant
21783,['7355845'],Relevant
11908,['7822816'],Relevant
56205,['5307908'],Relevant
59474,['5018638'],Relevant
23065,['7284378'],Relevant
6588,['8134463'],Relevant
1288,['8429429'],Relevant
86586,['1468410'],Relevant
12891,['7681076'],Relevant
75885,['3658906'],Relevant
25645,['7084377'],Relevant
85351,['2610380'],Relevant
46533,['6024304'],Relevant
75394,['3691519'],Relevant
9148,['8003518'],Relevant
17683,['7527413'],Relevant
40745,['6246695'],Relevant
57380,['5081366'],Relevant
12297,['7808607'],Relevant
33349,['6723309'],Relevant
10483,['7922564'],Relevant
12200,['7874006'],Relevant
64284,['4695847'],Relevant
65944,['4490481'],Relevant
72400,['3939722'],Relevant
73577,['4385161'],Relevant
33150,['6723202'],Relevant
21802,['7356297'],Relevant
59463,['5116894'],Relevant
26289,['7391111'],Relevant
22362,['7714990'],Relevant
54859,['5360458'],Relevant
66314,['4433338'],Relevant
13808,['7763337'],Relevant
48255,['5765979'],Relevant
30978,['6794991'],Relevant
59726,['4931062'],Relevant
3618,['8313280'],Relevant
181,['8460310'],Relevant
58234,['5017607'],Relevant
68126,['4302444'],Relevant
17954,['7516202'],Relevant
38783,['6471180'],Relevant
73899,['3844142'],Relevant
16621,['7550950'],Relevant
55993,['5226732'],Relevant
74245,['3978765'],Relevant
18053,['7485687'],Relevant
266,['8508005'],Relevant
10650,['7921313'],Relevant
1730,['8426637'],Relevant
72898,['3900439'],Relevant
40177,['6288442'],Relevant
81800,['3101652'],Relevant
7405,['8125564'],Relevant
10532,['7930556'],Relevant
19301,['7431654'],Relevant
810,['8453523'],Relevant
59065,['4964652'],Relevant
1414,['8441126'],Relevant
15907,['7693185'],Relevant
56991,['5114472'],Relevant
9753,['7999028'],Relevant
31357,['6765013'],Relevant
41327,['6286648'],Relevant
56592,['5143413'],Relevant
1147,['8464920'],Relevant
80755,['3196265'],Relevant
47200,['5900758'],Relevant
71321,['4038422'],Relevant
2536,['8390282'],Relevant
56449,['5157019'],Relevant
80353,['3234224'],Relevant
36481,['6473194'],Relevant
52184,['5508010'],Relevant
72401,['3939429'],Relevant
13524,['7769827'],Relevant
61829,['4761994'],Relevant
3323,['8343139'],Relevant
42280,['6142626'],Relevant
5555,['8228835'],Relevant
49873,['5866830'],Relevant
13169,['7804979'],Relevant
45416,['5948838'],Relevant
21468,['7520996'],Relevant
28783,['6927293'],Relevant
27296,['6993818'],Relevant
56347,['5177732'],Relevant
10582,['8092523'],Relevant
59754,['4926155'],Relevant
51586,['5578110'],Relevant
46028,['5979464'],Relevant
13433,['7765829'],Relevant
44841,['5991298'],Relevant
13078,['7772732'],Relevant
81906,['3070693'],Relevant
18103,['7505924'],Relevant
51376,['5560737'],Relevant
17882,['8052232'],Relevant
83638,['4836616'],Relevant
58386,['5063511'],Relevant
64282,['6331903'],Relevant
333,['8496867'],Relevant
40374,['6265579'],Relevant
56027,['5222797'],Relevant
42220,['6157315'],Relevant
54616,['5412073'],Relevant
15775,['7947768'],Relevant
56297,['5297666'],Relevant
7978,['8082179'],Relevant
52778,['7165667'],Relevant
64119,['4597484'],Relevant
8501,['8065639'],Relevant
5286,['8208253'],Relevant
25446,['7170507'],Relevant
84908,['2646247'],Relevant
61044,['4820694'],Relevant
25040,['7096511'],Relevant
44386,['6016131'],Relevant
75161,['3729582'],Relevant
27629,['7105693'],Relevant
5258,['8234252'],Relevant
36383,['6469979'],Relevant
57032,['5112900'],Relevant
15413,['7674312'],Relevant
40503,['6251897'],Relevant
22545,['7266875'],Relevant
49509,['7114886'],Relevant
4909,['8257635'],Relevant
15406,['7674932'],Relevant
39328,['6481063'],Relevant
14686,['7700683'],Relevant
71203,['4174352'],Relevant
35821,['6504865'],Relevant
8873,['7995675'],Relevant
87514,['1764182'],Relevant
3805,['8309414'],Relevant
53281,['5490510'],Relevant
13490,['7765599'],Relevant
78026,['3459981'],Relevant
78436,['3713711'],Relevant
2622,['8388780'],Relevant
36440,['6631906'],Relevant
18081,['7728695'],Relevant
40757,['6235865'],Relevant
6454,['8166647'],Relevant
67272,['4360819'],Relevant
58345,['5216076'],Relevant
60456,['4861329'],Relevant
43648,['7009336'],Relevant
44995,['6099785'],Relevant
8731,['8010956'],Relevant
78825,['3387224'],Relevant
71032,['7121506'],Relevant
63911,['4609165'],Relevant
25861,['7667535'],Relevant
70643,['4092087'],Relevant
47269,['5959752'],Relevant
36597,['6465639'],Relevant
30185,['7152057'],Relevant
10984,['7915418'],Relevant
22156,['7321107'],Relevant
40658,['6529396'],Relevant
22607,['7250413'],Relevant
76281,['3917467'],Relevant
58358,['5009154'],Relevant
77679,['3516836'],Relevant
196,['8514698'],Relevant
31951,['6732830'],Relevant
4174,['8300228'],Relevant
24028,['7175089'],Relevant
41861,['6168859'],Relevant
12193,['8163844'],Relevant
15681,['7608546'],Relevant
19098,['7460474'],Relevant
8189,['8043178'],Relevant
38244,['6412665'],Relevant
41511,['6222903'],Relevant
49292,['5703927'],Relevant
85284,['7116925'],Relevant
2009,['8378107'],Relevant
59049,['5415839'],Relevant
38622,['6487614'],Relevant
49145,['5705914'],Relevant
29760,['6918402'],Relevant
65318,['4555226'],Relevant
55771,['5256033'],Relevant
32694,['6721600'],Relevant
22178,['7272065'],Relevant
78866,['3383702'],Relevant
8992,['8005007'],Relevant
55754,['5592785'],Relevant
17242,['7600979'],Relevant
23550,['7194064'],Relevant
47781,['6017550'],Relevant
28058,['6942276'],Relevant
62733,['4696315'],Relevant
63094,['6331927'],Relevant
38747,['6365812'],Relevant
30329,['6822345'],Relevant
29671,['6888414'],Relevant
73213,['3884710'],Relevant
46650,['5955474'],Relevant
66679,['4404951'],Relevant
16717,['7578405'],Relevant
66135,['4448002'],Relevant
9269,['8002548'],Relevant
65377,['4503779'],Relevant
22772,['7246031'],Relevant
40004,['7256869'],Relevant
70479,['4131231'],Relevant
19419,['7464391'],Relevant
33523,['6678755'],Relevant
25288,['7266048'],Relevant
32806,['6701246'],Relevant
31822,['6749772'],Relevant
30699,['6813247'],Relevant
64464,['4569269'],Relevant
66880,['4499846'],Relevant
84928,['2657631'],Relevant
46902,['5885386'],Relevant
26172,['7074968'],Relevant
54554,['5372043'],Relevant
44730,['5993281'],Relevant
27123,['7073645'],Relevant
5920,['8208888'],Relevant
18510,['7714012'],Relevant
16637,['7650675'],Relevant
21360,['7362243'],Relevant
7191,['8147619'],Relevant
36162,['6520751'],Relevant
18812,['7504147'],Relevant
42052,['6321871'],Relevant
20658,['7404271'],Relevant
50576,['5666704'],Relevant
40072,['6290717'],Relevant
72060,['3975735'],Relevant
37023,['6437987'],Relevant
15914,['7665752'],Relevant
26843,['7005308'],Relevant
47147,['5829828'],Relevant
43376,['6072759'],Relevant
4036,['8304269'],Relevant
55230,['5464397'],Relevant
39710,['6303040'],Relevant
12639,['7825588'],Relevant
12660,['7791836'],Relevant
56035,['5222591'],Relevant
41927,['6238087'],Relevant
86410,['1617115'],Relevant
58100,['5034904'],Relevant
57411,['5640798'],Relevant
73399,['3863131'],Relevant
44523,['6008435'],Relevant
25460,['7093903'],Relevant
4472,['8281578'],Relevant
2661,['8386662'],Relevant
55997,['5225647'],Relevant
73796,['3844210'],Relevant
20864,['7358406'],Relevant
13992,['7723237'],Relevant
43777,['7009647'],Relevant
56119,['5215401'],Relevant
84275,['2751782'],Relevant
4419,['8284020'],Relevant
18628,['7559849'],Relevant
17548,['7505078'],Relevant
4333,['8292011'],Relevant
43007,['6121444'],Relevant
8587,['8017824'],Relevant
86248,['2725873'],Relevant
69939,['4158425'],Relevant
84053,['2860764'],Relevant
53853,['5403819'],Relevant
59297,['4944992'],Relevant
6819,['8152254'],Relevant
45169,['5964249'],Relevant
49725,['5914140'],Relevant
2103,['8402962'],Relevant
5676,['8226552'],Relevant
16242,['7578203'],Relevant
85889,['2212656'],Relevant
86302,['1868505'],Relevant
12336,['7828505'],Relevant
85711,['2225505'],Relevant
34856,['6602888'],Relevant
47963,['5784241'],Relevant
35208,['6538788'],Relevant
25145,['7143943'],Relevant
9045,['8004958'],Relevant
61289,['4804476'],Relevant
51555,['5622393'],Relevant
57610,['5065196'],Relevant
41892,['6210967'],Relevant
17021,['7530762'],Relevant
47231,['6423724'],Relevant
8127,['8045376'],Relevant
11174,['7864401'],Relevant
2641,['8388645'],Relevant
85622,['2570934'],Relevant
43722,['6077613'],Relevant
33394,['6695648'],Relevant
13268,['7779626'],Relevant
73149,['3879260'],Relevant
61813,['4762991'],Relevant
79133,['3360037'],Relevant
86146,['1853117'],Relevant
21097,['7408139'],Relevant
207,['8512808'],Relevant
38023,['6406390'],Relevant
60468,['4894062'],Relevant
68771,['4244808'],Relevant
52880,['5484544'],Relevant
7266,['8147140'],Relevant
75290,['3699453'],Relevant
68571,['4334475'],Relevant
10688,['7887200'],Relevant
4043,['8303945'],Relevant
33917,['6624236'],Relevant
12939,['7774843'],Relevant
78401,['6268019'],Relevant
87477,['153429'],Relevant
77274,['4384835'],Relevant
6545,['8160723'],Relevant
69607,['4178479'],Relevant
9404,['7957288'],Relevant
27703,['6964035'],Relevant
64902,['4542552'],Relevant
26500,['7048916'],Relevant
84870,['2649872'],Relevant
73852,['3843566'],Relevant
49644,['5673888'],Relevant
9535,['7991591'],Relevant
40741,['6247824'],Relevant
17282,['7599621'],Relevant
38381,['6371608'],Relevant
27638,['7022924'],Relevant
47736,['5861413'],Relevant
38937,['6358093'],Relevant
37054,['6443720'],Relevant
25407,['7115120'],Relevant
58701,['4991019'],Relevant
38781,['6534187'],Relevant
31889,['6770633'],Relevant
42258,['6149984'],Relevant
52310,['5501520'],Relevant
74850,['3741356'],Relevant
26921,['7102518'],Relevant
36129,['6496068'],Relevant
12967,['7795905'],Relevant
640,['8475398'],Relevant
76681,['3574118'],Relevant
25536,['7770412'],Relevant
11856,['7912657'],Relevant
75995,['3661376'],Relevant
58713,['4988992'],Relevant
83521,['2851653'],Relevant
39003,['6364259'],Relevant
55463,['5299996'],Relevant
74347,['3784492'],Relevant
67418,['4352093'],Relevant
14387,['7928911'],Relevant
67017,['4379178'],Relevant
49301,['5698326'],Relevant
48373,['7124096'],Relevant
20339,['7409047'],Relevant
34908,['6560150'],Relevant
27982,['7023026'],Relevant
19639,['7405402'],Relevant
49096,['5727800'],Relevant
46146,['5900450'],Relevant
17915,['7486360'],Relevant
30307,['6862270'],Relevant
35612,['6530343'],Relevant
74445,['3772905'],Relevant
46388,['5896307'],Relevant
15078,['7693462'],Relevant
16231,['7593716'],Relevant
1050,['8466912'],Relevant
73219,['7366374'],Relevant
83136,['2920555'],Relevant
60963,['4848995'],Relevant
14301,['7761335'],Relevant
62596,['7161791'],Relevant
40978,['6218967'],Relevant
20811,['7360682'],Relevant
31988,['6755750'],Relevant
85491,['7103208'],Relevant
10375,['7932538'],Relevant
53508,['5448163'],Relevant
32597,['6719008'],Relevant
61193,['4877114'],Relevant
33544,['6737023'],Relevant
74180,['3852248'],Relevant
69349,['4210537'],Relevant
53062,['5628300'],Relevant
22351,['7265639'],Relevant
25018,['7180933'],Relevant
30134,['6833180'],Relevant
3652,['8319823'],Relevant
71104,['4049833'],Relevant
6710,['8131906'],Relevant
13414,['7767006'],Relevant
12018,['7854921'],Relevant
13989,['7729837'],Relevant
63625,['4630262'],Relevant
52896,['5466964'],Relevant
54729,['5346840'],Relevant
42203,['6147495'],Relevant
3719,['8313987'],Relevant
45920,['5968758'],Relevant
46399,['5876404'],Relevant
62787,['5320628'],Relevant
46366,['5923455'],Relevant
34211,['6798580'],Relevant
70704,['4106082'],Relevant
5491,['8230008'],Relevant
59609,['4924335'],Relevant
38909,['6350653'],Relevant
51375,['5561023'],Relevant
61911,['5198788'],Relevant
27595,['7013854'],Relevant
84553,['3815904'],Relevant
21313,['7350221'],Relevant
38041,['6385418'],Relevant
4914,['8256664'],Relevant
67497,['4403081'],Relevant
38755,['6361755'],Relevant
12610,['7794245'],Relevant
26620,['7017463'],Relevant
22583,['7274485'],Relevant
82108,['3046157'],Relevant
75680,['3672068'],Relevant
8840,['8037169'],Relevant
44534,['6085741'],Relevant
3013,['8351387'],Relevant
58009,['5349209'],Relevant
58004,['5033976'],Relevant
20414,['7367361'],Relevant
8685,['8092265'],Relevant
